,wavelength,flux_spec
436,896189.7842219551,20424238972911.31
437,891250.915618853,20191279147767.684
438,886339.2649371196,19960098650825.9
439,881454.6821798024,19729785400490.95
440,876597.0181765751,19497764246129.312
441,871766.124579184,19264240278039.832
442,866961.8538569172,19034295011914.055
443,862184.059292099,18806263306419.92
444,857432.59497561,18576846904036.316
445,852707.3158024291,18346599002815.72
446,848008.0774672052,18115938061140.293
447,843334.7364598472,17887100422451.94
448,838687.150061144,17660513784682.004
449,834065.1763384034,17435126256770.951
450,829468.6741411207,17211344772777.395
451,824897.5030966654,16988993783365.898
452,820351.523605995,16765104165246.402
453,815830.5968393927,16542789958933.256
454,811334.5847322268,16322655285812.13
455,806863.3499807352,16103365226527.998
456,802416.7560378315,15884998226687.23
457,797994.667108935,15668994133865.559
458,793596.9481478237,15455045392263.871
459,789223.4648525104,15240875236760.334
460,784874.083661142,15027006676984.34
461,780548.6717479189,14813462136793.893
462,776247.0970190399,14600756467749.36
463,771969.2281086677,14390431444236.26
464,767714.9343749167,14182361482813.57
465,763484.0858958656,13974985667733.596
466,759276.5534655858,13768466825903.412
467,755092.2085901996,13565459505900.42
468,750930.9234839532,13364806264905.055
469,746792.5710653154,13163715441814.396
470,742677.0249530971,12962378463535.4
471,738584.1594625912,12761097169221.184
472,734513.8496017336,12564276275046.844
473,730465.971067288,12370045379038.193
474,726440.4002410475,12175002119085.52
475,722437.014186061,11981505961513.188
476,718455.6906428788,11789856172865.56
477,714496.3080258176,11601296410953.658
478,710558.7454192493,11415655079965.22
479,706642.8825739063,11231817422476.611
480,702748.5999032106,11050594607781.861
481,698875.7784796223,10871866258307.75
482,695024.3000310054,10693802587084.111
483,691194.0469370179,10517581739952.635
484,687384.9022255192,10342091025141.957
485,683596.7495689976,10169469862960.47
486,679829.4732810179,9999688261596.166
487,676082.958312689,9830701054253.078
488,672357.0902491496,9664088674377.918
489,668651.7553060746,9499886186142.43
490,664966.8403261999,9338024689538.766
491,661302.2327758665,9178346529597.982
492,657657.8207415858,9019512445034.164
493,654033.4929266185,8863076554473.951
494,650429.1386475785,8709304544146.454
495,646844.6478310513,8556914676793.8125
496,643279.9110102326,8405841951015.386
497,639734.8193215866,8257025601668.306
498,636209.2645015195,8110493205302.137
499,632703.1388830746,7964950979831.525
500,629216.3353926437,7822912915173.134
501,625748.7475466968,7684425139518.641
502,622300.2694485317,7548432057598.364
